Data,CNPJ,Valor,Valor_corrigido
2013-01-01,02441712000171,69.3,123.48
2013-01-01,07201070000157,76.89,137.0
2013-01-01,14286815000193,135.0,240.54
2013-01-01,47445317000103,68.46,121.98
2013-01-01,55121503000107,88.7,158.05
2013-01-01,96329446000133,400.0,712.72
2013-01-01,,73.0,130.07
2013-01-01,10940972000110,300.0,534.54
2013-01-01,06291911000100,19.5,34.75
2013-01-01,07246175000122,96.5,171.94
2013-01-01,07499995000207,42.11,75.03
2013-01-01,52519675000145,60.5,107.8
2013-01-01,56296460000163,50.64,90.23
2013-01-01,07207642000105,58.8,104.77
2013-01-01,09233943000139,58.5,104.24
2013-01-01,09310705000180,23.37,41.64
2013-01-01,14534260000151,42.2,75.19
2013-01-01,17109573000150,34.0,60.58
2013-01-01,54582218000120,37.0,65.93
2013-01-01,54587852000156,78.0,138.98
2013-01-01,73039703000105,25.0,44.55
2013-01-01,96161245000170,15.0,26.73
2013-01-01,59965038000141,522.69,931.33
2013-01-01,62971056000140,61.02,108.73
2013-01-01,65684037000121,32.56,58.02
2013-01-01,07429187000192,896.5,1597.39
2013-01-01,09967852013458,286.65,510.76
2013-01-01,72629140000134,348.7,621.32
2013-01-01,02502923000177,25.9,46.15
2013-01-01,03494517000172,127.05,226.38
2013-01-01,06276203000353,162.0,288.65
2013-01-01,07229129000115,141.7,252.48
2013-01-01,08375627000139,149.99,267.25
2013-01-01,12842782000195,61.4,109.4
2013-01-01,71821839001291,40.3,71.81
2013-01-01,61084018000103,164.36,292.86
2013-01-01,,36.0,64.15
2013-01-01,56927163000179,117.3,209.01
2013-01-01,11384785000160,30.0,53.45
2013-01-01,43405679000101,27.9,49.71
2013-01-01,02012862000160,184.95,329.55
2013-01-01,,111.0,197.78
2013-01-01,01658026000194,135.0,240.54
2013-01-01,03639008000433,58.61,104.43
2013-01-01,09400346000151,71.4,127.22
2013-01-01,12531394000193,110.0,196.0
2013-01-01,12910328000205,64.0,114.04
2013-01-01,13335349000126,110.0,196.0
2013-01-01,17084030000126,161.0,286.87
2013-01-01,46328787000116,41.57,74.07
2013-01-01,62505847001408,79.5,141.65
2013-01-01,72908353000103,79.25,141.21
2013-01-01,72908353001924,99.75,177.74
2013-01-01,72908353002068,83.6,148.96
2013-01-01,72908353003200,90.65,161.52
2013-01-01,05235456000154,88.55,157.78
2013-01-01,05324131000148,116.2,207.05
2013-01-01,14409608000189,136.5,243.22
2013-01-01,52961166000178,141.57,252.25
2013-01-01,05571182000255,44.5,79.29
2013-01-01,06114145000108,95.0,169.27
2013-01-01,07315004000108,114.0,203.13
2013-01-01,11384785000160,168.99,301.11
2013-01-01,51087484000199,106.59,189.92
2013-01-01,54867247000139,124.8,222.37
2013-01-01,,33.0,58.8
2013-01-01,00248893000199,55.0,98.0
2013-01-01,02584661000137,184.7,329.1
2013-01-01,09428879000141,28.74,51.21
2013-01-01,59597849000137,32.6,58.09
2013-01-01,07499995000207,50.63,90.21
2013-01-01,73152423000109,468.4,834.6
2013-01-01,02996747000762,12.0,21.38
2013-01-01,09434373000145,35.5,63.25
2013-01-01,10461550000161,55.0,98.0
2013-01-01,16566656000106,200.0,356.36
2013-01-01,61084018000103,24.15,43.03
2013-01-01,66728858000185,125.0,222.73
2013-01-01,75156265000263,166.39,296.47
2013-01-01,78055084001049,66.27,118.08
2013-01-01,,10.0,17.82
