"Data","CNPJ","Valor_corrigido"
"2018-02-01","02530487000220",41.23
"2018-02-01","05690346000182",116.88
"2018-02-01","10940972000110",458.09
"2018-02-01","65684037000393",54.71
"2018-02-01","",192.4
"2018-02-01","01035844000130",63.44
"2018-02-01","02012862000160",1757.17
"2018-02-01","08819783000141",268.41
"2018-02-01","13312700000163",42.93
"2018-02-01","13750892000190",117.14
"2018-02-01","55709760000164",392.65
"2018-02-01","57971160000871",20.94
"2018-02-01","10665606000361",2898.74
"2018-02-01","52771516000133",64.72
"2018-02-01","58865312000148",534.0
"2018-02-01","13462853000197",39.79
"2018-02-01","01835516000119",54.97
"2018-02-01","05061846000155",41.88
"2018-02-01","05832716000179",205.88
"2018-02-01","09456550000194",60.21
"2018-02-01","09585759000158",71.04
"2018-02-01","09585812000110",76.45
"2018-02-01","11586873000144",231.66
"2018-02-01","22360316000127",99.34
"2018-02-01","22992886000130",235.59
"2018-02-01","58699232000240",28.98
"2018-02-01","02012862000160",2452.05
"2018-02-01","59965038000141",382.74
"2018-02-01","",65.44
"2018-02-01","07725657000165",62.69
"2018-02-01","11581965000131",183.24
"2018-02-01","03300974004923",190.66
"2018-02-01","05619015000156",201.41
"2018-02-01","07725657000165",364.82
"2018-02-01","09456714000183",42.03
"2018-02-01","16734366000124",296.15
"2018-02-01","19217962000125",196.32
"2018-02-01","00141592000161",28.79
"2018-02-01","08303738000130",54.97
"2018-02-01","09456550000194",205.86
"2018-02-01","11731701000117",492.14
"2018-02-01","17366819000170",61.51
"2018-02-01","20136069000154",69.76
"2018-02-01","21083439000103",44.5
"2018-02-01","23697012000112",85.07
"2018-02-01","27140736000111",28.79
"2018-02-01","43978295000188",64.79
"2018-02-01","53550117000105",46.46
"2018-02-01","55121503000107",170.15
"2018-02-01","",95.54
"2018-02-01","09447557000140",391.44
"2018-02-01","09456550000194",149.59
"2018-02-01","22683792000189",108.19
"2018-02-01","",209.41
"2018-02-01","02530487000220",31.41
"2018-02-01","22182081000120",91.88
"2018-02-01","",31.41
"2018-02-01","12773441000105",73.82
"2018-02-01","65883480000121",56.15
"2018-02-01","59363903000180",216.61
"2018-02-01","02926692000471",151.67
"2018-02-01","10512692000100",107.69
"2018-02-01","47079637000189",287.94
"2018-02-01","46430815000101",460.71
"2018-02-01","07732866000306",29.85
