CNPJ,Valor_corrigido,Anomalia,k
00319295000163,2313.34,0,2
00319295000163,1639.17,1,2
00319295000163,1136.02,0,2
00319295000163,850.59,0,2
00319295000163,598.9,0,2
00319295000163,1365.78,0,2
00319295000163,337.7,0,2
00319295000163,823.44,0,2
00319295000163,273.46,0,2
00319295000163,311.69,0,2
00319295000163,947.38,0,2
00319295000163,599.6,0,2
00319295000163,508.5,0,2
00319295000163,3983.25,0,2
00319295000163,1100.48,0,2
00319295000163,522.82,0,2
00319295000163,1185.05,0,2
00319295000163,665.15,0,2
00319295000163,1055.79,0,2
00319295000163,488.79,0,2
00319295000163,740.3,0,2
00319295000163,1039.83,0,2
00319295000163,597.9,0,2
00319295000163,478.32,0,2
00484271000240,157.52,0,10
00484271000240,146.17,0,10
00484271000240,37.72,0,10
00484271000240,37.09,0,10
00484271000240,89.2,0,10
00484271000240,109.15,0,10
00484271000240,125.67,0,10
00484271000240,45.85,0,10
00484271000240,97.84,0,10
00484271000240,64.62,0,10
00484271000240,51.49,0,10
00484271000240,38.87,0,10
00484271000240,98.19,0,10
00484271000240,127.48,0,10
00484271000240,91.2,0,10
00484271000240,23.65,0,10
00484271000240,10.31,0,10
00484271000240,60.98,0,10
00484271000240,50.71,0,10
00484271000240,107.63,0,10
00484271000240,39.24,0,10
00484271000240,36.73,0,10
00484271000240,74.0,1,10
00484271000240,90.9,0,10
00484271000240,22.02,0,10
00484271000240,59.06,1,10
00484271000240,228.85,0,10
00484271000240,34.22,0,10
00484271000240,15.65,0,10
00484271000240,44.92,0,10
00484271000240,27.08,0,10
00484271000240,96.57,0,10
00484271000240,62.58,0,10
00484271000240,32.59,0,10
00484271000240,68.99,0,10
00484271000240,24.25,0,10
01061991000266,268.92,0,8
01061991000266,610.55,0,8
01061991000266,262.04,0,8
01061991000266,229.6,0,8
01061991000266,642.5,0,8
01061991000266,211.6,0,8
01061991000266,119.89,0,8
01061991000266,438.57,1,8
01061991000266,202.46,0,8
01061991000266,401.2,0,8
01061991000266,403.88,0,8
01061991000266,922.79,0,8
01061991000266,204.16,0,8
01061991000266,408.33,0,8
01061991000266,408.33,0,8
01061991000266,197.87,0,8
01061991000266,1187.22,0,8
01061991000266,197.87,0,8
01061991000266,378.5,0,8
01061991000266,27.08,0,8
01912390000139,170.88,0,4
01912390000139,337.54,0,4
01912390000139,344.12,0,4
01912390000139,773.23,0,4
01912390000139,709.77,0,4
01912390000139,124.19,1,4
01912390000139,183.13,0,4
01912390000139,158.04,0,4
01912390000139,171.68,0,4
01912390000139,329.95,0,4
01912390000139,465.69,0,4
01912390000139,162.2,0,4
01912390000139,160.36,0,4
01912390000139,126.41,0,4
01912390000139,425.58,0,4
01912390000139,158.52,0,4
01912390000139,157.84,0,4
01912390000139,165.42,0,4
01912390000139,148.97,0,4
01912390000139,125.67,0,4
01912390000139,196.0,1,4
01912390000139,166.38,0,4
01912390000139,161.4,0,4
01912390000139,166.05,0,4
01912390000139,173.36,0,4
01912390000139,302.42,0,4
01912390000139,135.92,0,4
01912390000139,171.27,0,4
01912390000139,474.48,0,4
01912390000139,137.36,0,4
02012862000160,1757.17,0,2
02012862000160,2452.05,0,2
02012862000160,860.63,0,2
02012862000160,1175.57,0,2
02012862000160,1961.83,0,2
02012862000160,240.02,1,2
02012862000160,8305.12,1,2
02012862000160,6756.45,0,2
02012862000160,6715.9,0,2
02012862000160,1364.91,0,2
02012862000160,1073.8,0,2
02012862000160,3188.2,0,2
02012862000160,2112.64,0,2
02012862000160,2536.37,0,2
02012862000160,3076.02,0,2
02012862000160,2152.99,0,2
02012862000160,2617.69,0,2
02012862000160,2443.77,0,2
02012862000160,2671.42,0,2
02012862000160,823.54,0,2
02012862000160,2896.2,0,2
02012862000160,1700.39,0,2
02012862000160,917.63,0,2
02012862000160,3075.24,0,2
02012862000160,5683.3,0,2
02012862000160,3640.17,0,2
02012862000160,3147.66,0,2
02012862000160,2020.27,0,2
02012862000160,4365.41,0,2
02012862000160,450.15,0,2
02012862000160,4549.99,0,2
02012862000160,4354.97,0,2
02012862000160,2013.4,0,2
02012862000160,3041.42,0,2
02012862000160,4157.4,0,2
02012862000160,5490.69,0,2
02012862000160,3299.58,0,2
02012862000160,4168.0,0,2
02012862000160,765.81,0,2
02012862000160,7095.16,0,2
02012862000160,2241.31,0,2
02012862000160,1008.54,0,2
02012862000160,1276.23,0,2
02012862000160,4575.63,0,2
02012862000160,5832.42,0,2
02012862000160,2363.83,0,2
02012862000160,3373.43,0,2
02012862000160,4307.69,0,2
02012862000160,5742.37,0,2
02012862000160,668.42,0,2
02012862000160,1366.21,0,2
02012862000160,1742.1,0,2
02012862000160,2633.44,0,2
02012862000160,3492.85,0,2
02012862000160,3578.08,0,2
02012862000160,1325.04,0,2
02012862000160,1849.65,0,2
02012862000160,402.03,0,2
02012862000160,1710.25,0,2
02012862000160,314.35,0,2
02012862000160,1148.2,0,2
02012862000160,3054.16,0,2
02012862000160,291.1,1,2
02012862000160,1640.23,0,2
02012862000160,3007.54,0,2
02012862000160,3291.01,0,2
02012862000160,4660.92,0,2
02012862000160,5909.43,0,2
02012862000160,882.75,0,2
02012862000160,1674.04,0,2
02012862000160,1632.83,0,2
02012862000160,3127.57,0,2
02012862000160,680.7,0,2
02012862000160,6319.9,0,2
02012862000160,300.28,0,2
02012862000160,927.54,0,2
02012862000160,3046.69,0,2
02012862000160,1326.85,0,2
02012862000160,481.52,0,2
02012862000160,5344.36,0,2
02012862000160,3629.46,0,2
02012862000160,5094.03,0,2
02012862000160,3244.56,0,2
02012862000160,4441.7,0,2
02012862000160,2780.54,0,2
02012862000160,3233.67,0,2
02012862000160,1412.27,0,2
02012862000160,1753.4,0,2
02012862000160,4970.07,0,2
02012862000160,2863.29,0,2
02012862000160,3613.47,0,2
02012862000160,3119.34,0,2
02012862000160,6700.47,0,2
02012862000160,3011.04,0,2
02012862000160,7787.44,1,2
02012862000160,2634.85,0,2
02012862000160,4510.98,0,2
02012862000160,1430.53,0,2
02012862000160,2696.16,0,2
02012862000160,1925.02,0,2
02012862000160,3040.4,0,2
02012862000160,7094.37,0,2
02012862000160,6560.82,0,2
02012862000160,1338.04,0,2
02012862000160,2252.85,0,2
02012862000160,9584.44,1,2
02012862000160,1587.83,0,2
02012862000160,3615.1,0,2
02012862000160,4570.77,0,2
02012862000160,1230.07,0,2
02012862000160,1615.49,0,2
02012862000160,3823.04,1,2
02012862000160,4088.59,0,2
02012862000160,6257.22,0,2
02012862000160,4552.89,0,2
02012862000160,1494.54,0,2
02530487000220,41.23,0,2
02530487000220,31.41,0,2
02530487000220,47.12,0,2
02530487000220,17.15,0,2
02530487000220,78.79,0,2
02530487000220,20.27,0,2
02530487000220,51.65,0,2
02530487000220,54.92,0,2
02530487000220,39.36,0,2
02530487000220,50.23,0,2
02530487000220,30.79,0,2
02530487000220,35.36,0,2
02530487000220,14.35,0,2
02530487000220,87.03,0,2
02530487000220,52.11,0,2
02530487000220,67.51,0,2
02530487000220,14.12,0,2
02530487000220,10.91,0,2
02530487000220,70.59,0,2
02530487000220,93.43,0,2
02530487000220,28.91,0,2
02530487000220,57.69,0,2
02530487000220,28.91,0,2
02530487000220,37.99,0,2
02530487000220,14.71,0,2
02530487000220,16.76,0,2
02530487000220,172.56,0,2
02530487000220,60.25,0,2
02530487000220,64.19,0,2
02530487000220,31.08,0,2
02530487000220,22.83,0,2
02530487000220,50.23,0,2
02530487000220,22.2,0,2
02530487000220,40.59,0,2
02530487000220,22.45,0,2
02530487000220,34.79,0,2
02530487000220,48.71,0,2
02530487000220,19.49,0,2
02530487000220,187.92,0,2
02530487000220,36.39,0,2
02530487000220,39.12,0,2
02530487000220,252.87,1,2
02530487000220,104.09,0,2
02530487000220,22.41,0,2
02530487000220,76.82,0,2
02530487000220,56.46,0,2
02530487000220,117.79,0,2
02530487000220,35.85,0,2
02530487000220,134.95,0,2
02530487000220,61.16,0,2
02530487000220,34.53,0,2
02530487000220,140.16,0,2
02530487000220,86.01,0,2
02530487000220,75.43,0,2
02530487000220,77.03,0,2
02530487000220,35.97,0,2
02530487000220,91.91,0,2
02530487000220,26.69,0,2
02530487000220,68.9,0,2
02530487000220,72.97,0,2
02530487000220,40.74,0,2
02530487000220,134.42,0,2
02530487000220,37.44,0,2
02530487000220,225.54,0,2
02530487000220,77.58,0,2
02530487000220,136.15,0,2
02530487000220,36.8,0,2
02530487000220,35.93,0,2
